SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
372,610.688583,396074.734375,0.0,0.0,0.0,-28084610.0,9059.552979,396811.429688,-28084610.0,-28481421.429688,1452274.0260416665
373,782.718597,895315.96875,0.0,0.0,0.0,-5323058.75,8006.110352,78199.15625,-5323058.75,-5401257.90625,3282825.21875
374,829.172821,997594.5625,0.0,0.0,0.0,-756740.429688,7548.116943,12925.606079,-756740.429688,-769666.035767,3657846.7291666665
375,825.696259,991518.984375,0.0,0.0,0.0,-835060.5,7584.913696,16803.036133,-835060.5,-851863.536133,3635569.609375
376,835.407684,1011772.0625,0.0,0.0,0.0,-158545.292969,7894.244873,3877.695679,-158545.292969,-162422.988648,3709830.895833333
377,251.235664,307499.15625,0.0,0.0,0.0,-10189.705078,2435.81012,646.289673,-10189.705078,-10835.994751,1127496.90625
378,191.192617,233201.167969,0.0,0.0,0.0,0.0,2130.55426,0.0,0.0,0.0,855070.9492196667
379,773.070084,932006.625,0.0,0.0,0.0,-225895.097656,8473.766602,9047.774902,-225895.097656,-234942.872558,3417357.625
380,493.11412,596164.71875,0.0,0.0,0.0,-59649.584961,4581.387695,3877.562988,-59649.584961,-63527.147949,2185937.302083333
381,423.458588,510735.28125,0.0,0.0,0.0,-64943.226562,3625.931641,5844.935547,-64943.226562,-70788.162109,1872696.03125
385,306.090607,443773.90625,0.0,0.0,0.0,0.0,2691.007324,0.0,0.0,0.0,1627170.9895833333
386,816.328644,1523846.9375,0.0,0.0,0.0,-92287.054688,7417.807373,4523.855957,-92287.054688,-96810.910645,5587438.770833333
387,689.434193,1253458.578125,0.0,0.0,0.0,-230659.793945,6262.622986,14864.33551,-230659.793945,-245524.12945500002,4596014.786458333
399,268.087456,393408.423828,0.0,0.0,0.0,-6663330.03125,5510.693024,71742.21936,-6663330.03125,-6735072.25061,1442497.554036
400,631.32103,647888.875,0.0,0.0,0.0,-25801342.5,9155.769287,365781.1875,-25801342.5,-26167123.6875,2375592.5416666665
